activity_id,activity_name,location,price,duration,category,description
ACT-001,Cellular Jail Light & Sound Show,Port Blair,300,2 hours,Heritage,"Iconic evening sound and light show at the historic Cellular Jail narrating India's freedom struggle."
ACT-002,Cellular Jail National Memorial Guided Tour,Port Blair,150,2 hours,Heritage,"Comprehensive daytime exploration of the historical wings, gallows, museum, and martyrs gallery."
ACT-003,Ross Island Heritage Walk,Port Blair,600,3 hours,Heritage,"Explore colonial ruins including the British Chief Commissioner's house, church, bakery, and freely roaming spotted deer."
ACT-004,Ross Island Light & Sound Show,Port Blair,450,2 hours,Heritage,"State-of-the-art laser light and sound spectacle projecting colonial history on the historical ruins."
ACT-005,North Bay Island Snorkelling,Port Blair,1800,4 hours,Water Sports,"High-visibility coral reef snorkelling around the iconic lighthouse island depicted on the 20 rupee note."
ACT-006,Sea Walk at North Bay Island,Port Blair,3500,1 hour,Water Sports,"Thrilling underwater helmet walk on the seabed with direct contact with tropical fish, suitable for non-swimmers."
ACT-007,Coral Safari Semi-Submarine Ride,Port Blair,2500,2 hours,Water Sports,"Air-conditioned underwater cabin cruising 5 meters below water offering panoramic views of living corals."
ACT-008,Sea Kart Adventure at Corbyn's Cove,Port Blair,3500,1 hour,Adventure,"Exclusive self-drive watercraft navigating the open coastal waters under professional instructor supervision."
ACT-009,Parasailing at Corbyn's Cove,Port Blair,3200,1 hour,Adventure,"Towed by high-speed winch boat high above the azure bay of Corbyn's Cove beach."
ACT-010,Jet Ski Ride at Water Sports Complex,Port Blair,800,30 mins,Water Sports,"High-adrenaline coastal jet ski thrill ride with experienced instructor."
ACT-011,Banana Boat & Bumper Tube Ride,Port Blair,700,30 mins,Water Sports,"Fun-filled group inflatable tube ride towed at speed over the waves."
ACT-012,Jolly Buoy Island Snorkelling & Glass Bottom Boat,Port Blair,2800,Full Day,Nature,"Day excursion to Mahatma Gandhi Marine National Park featuring crystal-clear waters and intact coral beds."
ACT-013,Red Skin Island Eco-Tour,Port Blair,2600,Full Day,Nature,"Alternate marine sanctuary island featuring pristine beaches, marine life, and lush mangrove fringe."
ACT-014,Chidiya Tapu Sunset & Bird Watching,Port Blair,1200,3 hours,Nature,"Scenic coastal drive to the southern tip renowned for endemic bird species and glorious sunset over the open sea."
