hotel_id,hotel_name,location,category,room_type,description,availability_status
HTL-GOA-001,W Goa,Vagator,5 Star,Wonderful Garden View Room,Luxury beachfront resort near Vagator with premium rooms and villas suited to high-end leisure travel.,Available
HTL-GOA-002,JW Marriott Goa,Vagator,5 Star,Deluxe Room,"Luxury resort in Vagator with upscale rooms, wellness facilities, dining, and family-oriented recreation.",Available
HTL-GOA-003,The Westin Goa,Anjuna,5 Star,Deluxe Guest Room,"Luxury North Goa resort positioned for beach, dining, and wellness-led stays.",Available
HTL-GOA-004,Renaissance Goa Baga-Arpora Hotel,Arpora,5 Star,Deluxe Room,Upscale resort-style stay close to North Goa's beach and entertainment corridor.,Available
HTL-GOA-005,Radisson Resort Goa Baga,Baga,5 Star,Superior Room,Resort accommodation in the Baga area suited to beach-focused and leisure itineraries.,Available
HTL-GOA-006,Radisson Hotel Goa Candolim,Candolim,4 Star,Superior Room,"Central Candolim hotel suited to beach access, family stays, and North Goa sightseeing.",Available
HTL-GOA-007,Park Inn by Radisson Goa Candolim,Candolim,4 Star,Deluxe Room,Comfort-focused Candolim stay with practical access to the North Goa coast.,Available
HTL-GOA-008,Hyatt Centric Candolim Goa,Candolim,5 Star,1 King Bed With Balcony,"Modern full-service hotel on Candolim Road, positioned for exploring North Goa beaches and attractions.",Available
HTL-GOA-009,Novotel Goa Candolim,Candolim,5 Star,Superior Room,Family-friendly Candolim hotel with multiple pools and access to nearby beaches.,Available
HTL-GOA-010,Novotel Goa Resort & Spa,Candolim,5 Star,Deluxe Room,Resort-style Candolim property near beaches with family and wellness facilities.,Available
HTL-GOA-011,"Le Méridien Goa, Calangute",Calangute,5 Star,Deluxe Room,Contemporary resort in Calangute suited to beach holidays and family trips.,Available
HTL-GOA-012,Fairfield by Marriott Goa Calangute,Calangute,4 Star,Deluxe Room,Modern Calangute hotel with easy access to the main beach and local dining.,Available
HTL-GOA-013,Fairfield by Marriott Goa Anjuna,Anjuna,4 Star,Deluxe Room,"North Goa stay close to Anjuna beach, cafes, and the area's evening scene.",Available
HTL-GOA-014,"Taj Fort Aguada Resort & Spa, Goa",Candolim,5 Star,Superior Room,Heritage-style luxury resort in the Fort Aguada area overlooking the coast.,Available
