destination_name,best_for,description,minimum_days,maximum_days
Panaji,arrival;heritage;riverfront;city stays,"Goa's capital and a practical base for Fontainhas, the Mandovi waterfront, museums, and access to North and South Goa.",1,3
Fontainhas,heritage;photography;culture;short stays,"The Latin Quarter of Panaji, known for colourful Indo-Portuguese homes, narrow lanes, galleries, and heritage walks.",0,1
Old Goa,heritage;churches;history,"UNESCO-recognised heritage precinct with the Basilica of Bom Jesus, Se Cathedral, and other historic monuments.",0,1
Dona Paula,sunset;views;romance,Panoramic waterfront viewpoint overlooking the meeting of Goa's rivers with the Arabian Sea.,0,1
Divar Island,culture;slow travel;villages;nature,"A quiet river island experience combining village lanes, fields, heritage chapels, mangroves, and traditional Goan life.",1,2
Candolim,premium stays;beaches;families,"A convenient North Goa base near Candolim and Sinquerim beaches, Fort Aguada, dining, and resort areas.",2,4
Calangute,beach;families;water activities,"A lively North Goa beach destination with a broad accommodation base, restaurants, shopping, and water activities.",1,3
Baga,nightlife;beach;water activities,"A popular North Goa coastal base for beach time, watersports, dining, and a lively evening scene.",1,3
Anjuna,bohemian;markets;beach;nightlife,"A North Goa village known for its beach, flea-market culture, cafes, nightlife, and coastal viewpoints.",1,3
Vagator,sunset;premium stays;beach,"A dramatic North Goa coastline near Chapora Fort, known for red-cliff views, beach sunsets, and upscale stays.",1,3
Chapora,forts;photography;sunset,Home to Chapora Fort and a scenic stretch of North Goa coastline around Vagator and Chapora.,0,1
Morjim,relaxation;beach;couples,"A quieter North Goa beach area suited to relaxed stays, boutique resorts, and long beach walks.",2,4
Ashwem,wellness;beach;slow travel,An elegant North Goa beach stretch with a calmer atmosphere and boutique hospitality.,1,3
Mandrem,wellness;beach;families,"A laid-back coastal village suited to yoga, wellness, beach time, and relaxed stays.",1,3
Arambol,bohemian;beach;sunset,"A northern beach destination with a relaxed traveller atmosphere, freshwater lagoon, and sunset-oriented experiences.",1,3
Aguada,heritage;beach;views,Historic Fort Aguada and its coastal surroundings form one of North Goa's signature sightseeing areas.,0,1
Panaji Waterfront,cruise;sunset;city,"Mandovi riverfront experiences including sunset cruises, waterfront walks, and evening city views.",0,1
Grand Island,scuba;snorkelling;adventure,"A marine-excursion destination used for scuba and snorkelling experiences from the Goa coast, subject to sea and operator conditions.",0,1
Bogmalo,beach;diving;airport access,"A South Goa coastal village near the airport, useful for beach stays and access to marine activities.",1,2
Majorda,premium stays;beach;wellness,"A South Goa base around long sandy beaches and luxury resorts, convenient for relaxed resort holidays.",2,4
Colva,beach;families;easy access,A major South Goa beach base with broad accommodation options and convenient access to nearby coastal villages.,1,3
Benaulim,relaxation;families;beach,"A quieter South Goa beach area suited to relaxed beach holidays, family stays, and slower-paced itineraries.",2,4
Varca,premium stays;beach;relaxation,A spacious South Goa beach belt with resort compounds and a calmer ambience than the busiest North Goa areas.,2,4
Cavelossim,luxury;beach;honeymoon,"A polished South Goa resort destination near the Sal River, known for upscale beachfront properties and relaxed evenings.",2,4
Mobor,luxury;beach;water activities,"A quieter luxury beach area at the southern end of the Cavelossim coastline, suitable for resort-led holidays.",2,4
Agonda,honeymoon;relaxation;beach,"A scenic South Goa beach known for a laid-back atmosphere, long sandy shoreline, and intimate stays.",2,4
Palolem,honeymoon;beach;sunset,"A popular Canacona beach destination with a curved sandy bay, boat excursions, and a strong leisure focus.",2,4
Patnem,wellness;quiet beach;couples,"A quieter beach near Palolem with boutique stays, yoga, and a slower coastal atmosphere.",1,3
Cabo de Rama,forts;views;road trip,A dramatic South Goa coastal fort and viewpoint combining history with wide Arabian Sea panoramas.,0,1
Netravali,wildlife;waterfalls;offbeat,"A forested South Goa hinterland destination offering wildlife, springs, waterfalls, and village experiences.",1,2
Dudhsagar,waterfall;adventure;nature,"A major inland Goa excursion to the Dudhsagar waterfall area, typically combined with transport and trekking or regulated access options.",0,1
Collem,adventure;wildlife;waterfall,Gateway area for excursions toward Dudhsagar and Bhagwan Mahavir Wildlife Sanctuary.,0,1
Ponda,temples;spice plantations;culture,"Goa's hinterland base for Hindu temples, spice plantations, and cultural excursions.",1,2
Spice Plantation Belt,culture;food;nature,"Rural Goa experiences around plantation estates, traditional meals, and guided walks through tropical crops.",0,1
Saligao,heritage;food;slow travel,A North Goa village with heritage character and access to boutique hospitality and local food experiences.,0,1
Assagao,boutique;food;heritage,"A village known for Portuguese-era homes, design-led stays, restaurants, and a quieter North Goa character.",1,2
Siolim,slow travel;local culture,"A riverine North Goa village useful as a base for exploring Morjim, Ashwem, Mandrem, and local cultural sites.",1,2
Tiracol,fort;views;offbeat,A northern coastal area associated with Fort Tiracol and wide views across the Arabian Sea and Terekhol estuary.,0,1
Miramar,sunset;city;beach,A Panaji-side beach suited to sunset walks and short coastal visits close to the capital.,0,1
